obs,x
1968-10-16,618.56
1968-10-23,618.03
1968-10-30,615.07
1968-11-06,614.12
1968-11-13,626.6
1968-11-20,632.94
1968-11-27,644.05
1968-12-04,643.73
1968-12-11,642.67
1968-12-18,640.87
1968-12-25,630.62
1969-01-01,623.22
1969-01-08,603.44
1969-01-15,607.99
1969-01-22,611.27
1969-01-29,614.76
1969-02-05,617.72
1969-02-12,620.47
1969-02-19,600.91
1969-02-26,586.21
1969-03-05,592.23
1969-03-12,587.58
1969-03-19,588.11
1969-03-26,594.35
1969-04-02,596.25
1969-04-09,597.31
1969-04-16,594.56
1969-04-23,595.51
1969-04-30,613.17
1969-05-07,618.99
1969-05-14,627.23
1969-05-21,617.61
1969-05-28,610.53
1969-06-04,606.83
1969-06-11,587.48
1969-06-18,575.63
1969-06-25,568.02
1969-07-02,579.65
1969-07-09,567.81
1969-07-16,557.24
1969-07-23,544.76
1969-07-30,523.93
1969-08-06,548.57
1969-08-13,541.27
1969-08-20,556.6
1969-08-27,553.75
1969-09-03,555.65
1969-09-10,555.02
1969-09-17,554.8
1969-09-24,560.2
1969-10-01,543.17
1969-10-08,544.44
1969-10-15,564.21
1969-10-22,577.96
1969-10-29,573.1
1969-11-05,578.38
1969-11-12,580.07
1969-11-19,567.07
1969-11-26,551.53
1969-12-03,541.16
1969-12-10,533.66
1969-12-17,526.36
1969-12-24,537.89
1969-12-31,544.86
1970-01-07,548.99
1970-01-14,542.86
1970-01-21,532.92
1970-01-28,513.78
1970-02-04,509.55
1970-02-11,514.41
1970-02-18,517.37
1970-02-25,528.37
1970-03-04,532.7
1970-03-11,523.72
1970-03-18,516
1970-03-25,528.26
1970-04-01,529.74
1970-04-08,518.85
1970-04-15,506.9
1970-04-22,491.36
1970-04-29,475.61
1970-05-06,461.01
1970-05-13,443.99
1970-05-20,425.8
1970-05-27,419.25
1970-06-03,454.78
1970-06-10,436.48
1970-06-17,438.81
1970-06-24,426.44
1970-07-01,419.88
1970-07-08,419.04
1970-07-15,432.15
1970-07-22,442.51
1970-07-29,448.85
1970-08-05,443.46
1970-08-12,432.99
1970-08-19,440.5
1970-08-26,466.2
1970-09-02,465.35
1970-09-09,477.3
1970-09-16,472.01
1970-09-23,478.67
1970-09-30,487.87
1970-10-07,502.15
1970-10-14,486.6
1970-10-21,482.16
1970-10-28,480.15
1970-11-04,485.55
1970-11-11,489.67
1970-11-18,475.82
1970-11-25,488.29
1970-12-02,509.02
1970-12-09,515.15
1970-12-16,515.89
1970-12-23,518.75
1970-12-30,531.75
1971-01-06,533.87
1971-01-13,537.67
1971-01-20,544.86
1971-01-27,551.1
1971-02-03,561.78
1971-02-10,566.65
1971-02-17,571.4
1971-02-24,562.84
1971-03-03,564.11
1971-03-10,578.91
1971-03-17,589.06
1971-03-24,581.24
1971-03-31,586.21
1971-04-07,594.77
1971-04-14,602.39
1971-04-21,601.43
1971-04-28,610.74
1971-05-05,604.82
1971-05-12,599.53
1971-05-19,588.43
1971-05-26,580.07
1971-06-02,589.06
1971-06-09,586.1
1971-06-16,586.63
1971-06-23,574.37
1971-06-30,582.51
1971-07-07,585.78
1971-07-14,581.87
1971-07-21,581.98
1971-07-28,567.92
1971-08-04,548.25
1971-08-11,552.9
1971-08-18,576.59
1971-08-25,586.42
1971-09-01,579.02
1971-09-08,592.55
1971-09-15,583.25
1971-09-22,575.42
1971-09-29,571.83
1971-10-06,583.14
1971-10-13,579.02
1971-10-20,558.82
1971-10-27,547.72
1971-11-03,553.53
1971-11-10,545.39
1971-11-17,541.06
1971-11-24,525.2
1971-12-01,557.55
1971-12-08,566.22
1971-12-15,575.53
1971-12-22,590.65
1971-12-29,596.57
1972-01-05,602.39
1972-01-12,606.51
1972-01-19,608.31
1972-01-26,600.27
1972-02-02,614.55
1972-02-09,619.2
1972-02-16,620.04
1972-02-23,618.99
1972-03-01,631.25
1972-03-08,641.93
1972-03-15,635.06
1972-03-22,628.29
1972-03-29,627.13
1972-04-05,641.61
1972-04-12,649.44
1972-04-19,643.94
1972-04-26,630.41
1972-05-03,623.85
1972-05-10,619.41
1972-05-17,628.61
1972-05-24,646.9
1972-05-31,642.46
1972-06-07,632.41
1972-06-14,635.59
1972-06-21,636.75
1972-06-28,625.96
1972-07-05,632.84
1972-07-12,625.01
1972-07-19,619.62
1972-07-26,627.02
1972-08-02,635.8
1972-08-09,644.15
1972-08-16,649.23
1972-08-23,653.25
1972-08-30,643.31
1972-09-06,642.99
1972-09-13,632.1
1972-09-20,629.88
1972-09-27,635.9
1972-10-04,637.81
1972-10-11,634.11
1972-10-18,626.07
1972-10-25,640.35
1972-11-01,652.82
1972-11-08,656.84
1972-11-15,663.4
1972-11-22,676.08
1972-11-29,673.86
1972-12-06,683.06
1972-12-13,685.07
1972-12-20,670.48
1972-12-27,675.13
1973-01-03,690.36
1973-01-10,688.35
1973-01-17,681.9
1973-01-24,668.79
1973-01-31,663.5
1973-02-07,648.91
1973-02-14,656.1
1973-02-21,652.29
1973-02-28,634.42
1973-03-07,649.12
1973-03-14,650.5
1973-03-21,624.59
1973-03-28,629.67
1973-04-04,613.7
1973-04-11,634.11
1973-04-18,626.49
1973-04-25,608.31
1973-05-02,607.57
1973-05-09,619.2
1973-05-16,596.78
1973-05-23,580.39
1973-05-30,591.6
1973-06-06,580.6
1973-06-13,599.21
1973-06-20,581.13
1973-06-27,576.06
1973-07-04,566.65
1973-07-11,590.65
1973-07-18,598.05
1973-07-25,618.03
1973-08-01,601.65
1973-08-08,595.2
1973-08-15,580.39
1973-08-22,566.22
1973-08-29,585.68
1973-09-05,591.71
1973-09-12,583.56
1973-09-19,601.65
1973-09-26,620.36
1973-10-03,621.63
1973-10-10,623.85
1973-10-17,628.08
1973-10-24,627.45
1973-10-31,616.24
1973-11-07,599.95
1973-11-14,579.65
1973-11-21,562.52
1973-11-28,550.36
1973-12-05,518.64
1973-12-12,526.89
1973-12-19,532.07
1973-12-26,537.15
1974-01-02,549.62
1974-01-09,529.22
1974-01-16,541.16
1974-01-23,548.04
1974-01-30,548.57
1974-02-06,527.52
1974-02-13,514.52
1974-02-20,528.05
1974-02-27,546.03
1974-03-06,554.91
1974-03-13,564.32
1974-03-20,552.16
1974-03-27,545.5
1974-04-03,531.54
1974-04-10,520.54
1974-04-17,531.22
1974-04-24,507.12
1974-05-01,517.27
1974-05-08,513.14
1974-05-15,504.68
1974-05-22,485.44
1974-05-29,483.64
1974-06-05,502.57
1974-06-12,511.56
1974-06-19,493.37
1974-06-26,484.49
1974-07-03,463.87
1974-07-10,440.4
1974-07-17,462.28
1974-07-24,470.74
1974-07-31,439.34
1974-08-07,457.42
1974-08-14,425.91
1974-08-21,408.04
1974-08-28,391.86
1974-09-04,379.91
1974-09-11,378.75
1974-09-18,374.2
1974-09-25,376.53
1974-10-02,353.59
1974-10-09,377.38
1974-10-16,392.5
1974-10-23,396.94
1974-10-30,413.64
1974-11-06,417.24
1974-11-13,410.47
1974-11-20,380.97
1974-11-27,392.39
1974-12-04,377.91
1974-12-11,378.01
1974-12-18,377.91
1974-12-25,375.47
1975-01-01,381.86
1975-01-08,392.92
1975-01-15,405.71
1975-01-22,403.6
1975-01-29,433.84
1975-02-05,443.57
1975-02-12,448.85
1975-02-19,456.05
1975-02-26,449.17
1975-03-05,462.92
1975-03-12,467.57
1975-03-19,472.54
1975-03-26,468.52
1975-04-02,462.28
1975-04-09,463.98
1975-04-16,484.7
1975-04-23,482.59
1975-04-30,488.4
1975-05-07,498.34
1975-05-14,516.32
1975-05-21,499.82
1975-05-28,503.94
1975-06-04,520.65
1975-06-11,509.44
1975-06-18,509.34
1975-06-25,534.08
1975-07-02,531.75
1975-07-09,536.41
1975-07-16,536.3
1975-07-23,511.77
1975-07-30,502.57
1975-08-06,487.24
1975-08-13,485.12
1975-08-20,468.42
1975-08-27,475.18
1975-09-03,484.17
1975-09-10,470.74
1975-09-17,461.97
1975-09-24,481.21
1975-10-01,464.82
1975-10-08,491.68
1975-10-15,499.5
1975-10-22,507.33
1975-10-29,499.71
1975-11-05,498.34
1975-11-12,509.87
1975-11-19,503.52
1975-11-26,508.49
1975-12-03,489.04
1975-12-10,490.62
1975-12-17,496.65
1975-12-24,498.87
1975-12-31,503.73
1976-01-07,526.04
1976-01-14,543.91
1976-01-21,550.36
1976-01-28,552.79
1976-02-04,573.52
1976-02-11,568.44
1976-02-18,564.53
1976-02-25,575.85
1976-03-03,565.8
1976-03-10,570.66
1976-03-17,570.03
1976-03-24,583.14
1976-03-31,579.44
1976-04-07,576.27
1976-04-14,564.11
1976-04-21,581.56
1976-04-28,574.68
1976-05-05,567.81
1976-05-12,578.81
1976-05-19,570.03
1976-05-26,559.46
1976-06-02,563.9
1976-06-09,556.39
1976-06-16,574.79
1976-06-23,581.87
1976-06-30,589.06
1976-07-07,586.63
1976-07-14,598.58
1976-07-21,586.84
1976-07-28,582.3
1976-08-04,589.8
1976-08-11,587.79
1976-08-18,590.54
1976-08-25,576.48
1976-09-01,586.84
1976-09-08,592.23
1976-09-15,588.64
1976-09-22,606.4
1976-09-29,595.3
1976-10-06,581.98
1976-10-13,576.48
1976-10-20,574.47
1976-10-27,574.37
1976-11-03,575
1976-11-10,559.35
1976-11-17,569.4
1976-11-24,581.13
1976-12-01,581.87
1976-12-08,591.39
1976-12-15,598.79
1976-12-22,596.78
1976-12-29,605.66
1977-01-05,598.37
1977-01-12,591.6
1977-01-19,595.94
1977-01-26,589.49
1977-02-02,588.75
1977-02-09,580.07
1977-02-16,583.56
1977-02-23,576.27
1977-03-02,576.9
1977-03-09,575.42
1977-03-16,586.84
1977-03-23,576.48
1977-03-30,566.86
1977-04-06,563.16
1977-04-13,575.74
1977-04-20,578.38
1977-04-27,564.85
1977-05-04,576.16
1977-05-11,570.77
1977-05-18,579.12
1977-05-25,559.88
1977-06-01,560.09
1977-06-08,567.28
1977-06-15,575.42
1977-06-22,581.45
1977-06-29,580.5
1977-07-06,578.07
1977-07-13,578.38
1977-07-20,589.27
1977-07-27,571.83
1977-08-03,569.08
1977-08-10,571.93
1977-08-17,565.8
1977-08-24,562.73
1977-08-31,559.67
1977-09-07,566.65
1977-09-14,558.19
1977-09-21,550.68
1977-09-28,551.31
1977-10-05,554.38
1977-10-12,545.29
1977-10-19,535.56
1977-10-26,533.02
1977-11-02,526.36
1977-11-09,539.68
1977-11-16,555.44
1977-11-23,562.42
1977-11-30,553.64
1977-12-07,542.22
1977-12-14,548.78
1977-12-21,543.6
1977-12-28,553.11
1978-01-04,545.92
1978-01-11,523.61
1978-01-18,529.11
1978-01-25,523.08
1978-02-01,526.47
1978-02-08,532.39
1978-02-15,521.71
1978-02-22,514.83
1978-03-01,512.72
1978-03-08,516.74
1978-03-15,524.99
1978-03-22,527.52
1978-03-29,529.43
1978-04-05,529.64
1978-04-12,533.23
1978-04-19,553.53
1978-04-26,569.71
1978-05-03,568.02
1978-05-10,568.02
1978-05-17,588.75
1978-05-24,574.79
1978-05-31,576.48
1978-06-07,593.29
1978-06-14,590.86
1978-06-21,570.03
1978-06-28,566.54
1978-07-05,560.41
1978-07-12,571.93
1978-07-19,582.61
1978-07-26,588.01
1978-08-02,611.37
1978-08-09,621.21
1978-08-16,623.11
1978-08-23,625.12
1978-08-30,618.35
1978-09-06,628.5
1978-09-13,635.06
1978-09-20,606.09
1978-09-27,605.98
1978-10-04,613.59
1978-10-11,626.92
1978-10-18,596.36
1978-10-25,574.58
1978-11-01,568.76
1978-11-08,555.02
1978-11-15,544.76
1978-11-22,562.95
1978-11-29,553.85
1978-12-06,576.37
1978-12-13,568.02
1978-12-20,558.61
1978-12-27,569.92
1979-01-03,577.01
1979-01-10,583.99
1979-01-17,588.32
1979-01-24,592.87
1979-01-31,592.02
1979-02-07,575.95
1979-02-14,586
1979-02-21,587.69
1979-02-28,570.24
1979-03-07,583.88
1979-03-14,591.6
1979-03-21,600.91
1979-03-28,606.4
1979-04-04,610.21
1979-04-11,609.58
1979-04-18,606.19
1979-04-25,611.16
1979-05-02,606.51
1979-05-09,591.71
1979-05-16,585.57
1979-05-23,596.15
1979-05-30,592.23
1979-06-06,605.13
1979-06-13,612.75
1979-06-20,609.58
1979-06-27,613.38
1979-07-04,614.97
1979-07-11,622.37
1979-07-18,610.74
1979-07-25,619.83
1979-08-01,627.66
1979-08-08,638.23
1979-08-15,652.19
1979-08-22,656.95
1979-08-29,657.47
1979-09-05,641.4
1979-09-12,650.07
1979-09-19,653.03
1979-09-26,661.6
1979-10-03,660.22
1979-10-10,629.45
1979-10-17,620.15
1979-10-24,600.91
1979-10-31,610.21
1979-11-07,600.06
1979-11-14,622.26
1979-11-21,625.75
1979-11-28,645
1979-12-05,648.7
1979-12-12,651.13
1979-12-19,655.57
1979-12-26,653.67
1980-01-02,638.02
1980-01-09,663.18
1980-01-16,676.19
1980-01-23,688.67
1980-01-30,699.35
1980-02-06,701.99
1980-02-13,716.58
1980-02-20,704.32
1980-02-27,679.89
1980-03-05,670.16
1980-03-12,643.52
1980-03-19,627.13
1980-03-26,591.92
1980-04-02,615.39
1980-04-09,617.61
1980-04-16,610.21
1980-04-23,623.32
1980-04-30,638.23
1980-05-07,645.21
1980-05-14,643.94
1980-05-21,649.44
1980-05-28,675.45
1980-06-04,679.26
1980-06-11,699.66
1980-06-18,701.67
1980-06-25,705.48
1980-07-02,699.56
1980-07-09,713.3
1980-07-16,724.72
1980-07-23,737.62
1980-07-30,739.63
1980-08-06,736.25
1980-08-13,747.35
1980-08-20,750.84
1980-08-27,752.32
1980-09-03,768.82
1980-09-10,762.58
1980-09-17,788.48
1980-09-24,796.62
1980-10-01,775.79
1980-10-08,803.82
1980-10-15,816.71
1980-10-22,804.24
1980-10-29,780.34
1980-11-05,799.8
1980-11-12,818.83
1980-11-19,847.7
1980-11-26,854.15
1980-12-03,833.32
1980-12-10,780.13
1980-12-17,804.98
1980-12-24,824.22
1980-12-31,823.27
1981-01-07,817.24
1981-01-14,809.42
1981-01-21,797.15
1981-01-28,790.7
1981-02-04,778.65
1981-02-11,776.85
1981-02-18,778.12
1981-02-25,776.75
1981-03-04,792.82
1981-03-11,788.06
1981-03-18,814.07
1981-03-25,833.42
1981-04-01,831.31
1981-04-08,819.99
1981-04-15,819.04
1981-04-22,818.51
1981-04-29,812.49
1981-05-06,799.37
1981-05-13,798.95
1981-05-20,809.21
1981-05-27,820.31
1981-06-03,802.23
1981-06-10,811.85
1981-06-17,817.77
1981-06-24,814.18
1981-07-01,796.94
1981-07-08,787.74
1981-07-15,799.37
1981-07-22,781.4
1981-07-29,792.5
1981-08-05,813.23
1981-08-12,818.62
1981-08-19,800.75
1981-08-26,766.49
1981-09-02,756.66
1981-09-09,724.09
1981-09-16,727.68
1981-09-23,705.69
1981-09-30,708.44
1981-10-07,741.54
1981-10-14,729.27
1981-10-21,736.57
1981-10-28,733.18
1981-11-04,765.33
1981-11-11,756.44
1981-11-18,740.48
1981-11-25,762.89
1981-12-02,765.54
1981-12-09,768.6
1981-12-16,751.37
1981-12-23,750.42
1981-12-30,749.68
1982-01-06,731.49
1982-01-13,704.53
1982-01-20,706.33
1982-01-27,706.11
1982-02-03,712.78
1982-02-10,700.09
1982-02-17,694.8
1982-02-24,692.05
1982-03-03,678.2
1982-03-10,666.57
1982-03-17,663.4
1982-03-24,687.29
1982-03-31,682.22
1982-04-07,703.05
1982-04-14,704.95
1982-04-21,705.37
1982-04-28,714.26
1982-05-05,716.37
1982-05-12,726.31
1982-05-19,701.25
1982-05-26,689.2
1982-06-02,682.53
1982-06-09,662.76
1982-06-16,662.66
1982-06-23,668.89
1982-06-30,666.36
1982-07-07,652.4
1982-07-14,669.95
1982-07-21,675.66
1982-07-28,654.2
1982-08-04,644.68
1982-08-11,623.32
1982-08-18,658.95
1982-08-25,712.56
1982-09-01,717.96
1982-09-08,740.37
1982-09-15,752.74
1982-09-22,751.79
1982-09-29,737.83
1982-10-06,763.42
1982-10-13,827.92
1982-10-20,843.78
1982-10-27,821.37
1982-11-03,867.57
1982-11-10,861.02
1982-11-17,842.41
1982-11-24,820.52
1982-12-01,847.27
1982-12-08,864.19
1982-12-15,825.7
1982-12-22,844.52
1982-12-29,858.69
1983-01-05,864.51
1983-01-12,895.07
1983-01-19,888.09
1983-01-26,864.19
1983-02-02,874.13
1983-02-09,885.97
1983-02-16,900.67
1983-02-23,896.02
1983-03-02,928.16
1983-03-09,932.92
1983-03-16,913.89
1983-03-23,928.9
1983-03-30,932.18
1983-04-06,919.6
1983-04-13,952.06
1983-04-20,975.85
1983-04-27,979.97
1983-05-04,991.39
1983-05-11,1004.4
1983-05-18,998.05
1983-05-25,1015.18
1983-06-01,995.31
1983-06-08,989.38
1983-06-15,1023.96
1983-06-22,1046.91
1983-06-29,1021
1983-07-06,1033.37
1983-07-13,1014.02
1983-07-20,1034.53
1983-07-27,1027.13
1983-08-03,998.48
1983-08-10,986.53
1983-08-17,1009.9
1983-08-24,988.01
1983-08-31,1003.34
1983-09-07,1025.23
1983-09-14,1011.91
1983-09-21,1030.52
1983-09-28,1028.3
1983-10-05,1025.97
1983-10-12,1035.8
1983-10-19,1016.77
1983-10-26,1008.84
1983-11-02,1004.72
1983-11-09,998.58
1983-11-16,1013.92
1983-11-23,1019.31
1983-11-30,1017.09
1983-12-07,1013.6
1983-12-14,998.27
1983-12-21,998.58
1983-12-28,1006.94
1984-01-04,1016.88
1984-01-11,1025.97
1984-01-18,1024.59
1984-01-25,1007.25
1984-02-01,993.19
1984-02-08,952.59
1984-02-15,951.11
1984-02-22,938.63
1984-02-29,956.29
1984-03-07,942.01
1984-03-14,955.02
1984-03-21,965.38
1984-03-28,971.73
1984-04-04,959.14
1984-04-11,943.6
1984-04-18,960.41
1984-04-25,964.11
1984-05-02,984.31
1984-05-09,974.26
1984-05-16,961.36
1984-05-23,931.44
1984-05-30,914.2
1984-06-06,942.65
1984-06-13,927.74
1984-06-20,942.75
1984-06-27,926.05
1984-07-04,932.29
1984-07-11,919.49
1984-07-18,922.56
1984-07-25,905.53
1984-08-01,936.62
1984-08-08,982.93
1984-08-15,990.86
1984-08-22,1014.66
1984-08-29,1015.61
1984-09-05,1000.27
1984-09-12,1002.5
1984-09-19,1017.3
1984-09-26,1013.17
1984-10-03,991.18
1984-10-10,989.38
1984-10-17,1002.81
1984-10-24,1019.31
1984-10-31,1012.33
1984-11-07,1030.52
1984-11-14,1012.33
1984-11-21,1002.28
1984-11-28,1005.98
1984-12-05,988.33
1984-12-12,991.71
1984-12-19,1019.2
1984-12-26,1015.5
1985-01-02,1009.05
1985-01-09,1009.16
1985-01-16,1045.74
1985-01-23,1081.38
1985-01-30,1095.97
1985-02-06,1103.9
1985-02-13,1121.66
1985-02-20,1111.4
1985-02-27,1106.65
1985-03-06,1106.44
1985-03-13,1091.63
1985-03-20,1096.39
1985-03-27,1098.93
1985-04-03,1097.24
1985-04-10,1099.56
1985-04-17,1113.31
1985-04-24,1116.59
1985-05-01,1092.8
1985-05-08,1105.59
1985-05-15,1130.01
1985-05-22,1152.43
1985-05-29,1148.94
1985-06-05,1165.65
1985-06-12,1151.16
1985-06-19,1146.72
1985-06-26,1164.48
1985-07-03,1173.9
1985-07-10,1180.03
1985-07-17,1200.01
1985-07-24,1175.06
1985-07-31,1168.08
1985-08-07,1148.1
1985-08-14,1148.52
1985-08-21,1157.72
1985-08-28,1156.66
1985-09-04,1148.41
1985-09-11,1133.72
1985-09-18,1110.24
1985-09-25,1105.48
1985-10-02,1124.62
1985-10-09,1115.95
1985-10-16,1147.04
1985-10-23,1154.33
1985-10-30,1159.83
1985-11-06,1176.96
1985-11-13,1203.18
1985-11-20,1213.65
1985-11-27,1233.85
1985-12-04,1244.42
1985-12-11,1256.26
1985-12-18,1276.14
1985-12-25,1263.88
1986-01-01,1276.67
1986-01-08,1270.86
1986-01-15,1270.22
1986-01-22,1245.06
1986-01-29,1282.38
1986-02-05,1297.93
1986-02-12,1318.12
1986-02-19,1340.22
1986-02-26,1364.65
1986-03-05,1370.67
1986-03-12,1418.57
1986-03-19,1433.37
1986-03-26,1445.32
1986-04-02,1438.98
1986-04-09,1427.77
1986-04-16,1475.99
1986-04-23,1473.34
1986-04-30,1435.38
1986-05-07,1438.98
1986-05-14,1447.65
1986-05-21,1435.38
1986-05-28,1498.51
1986-06-04,1482.33
1986-06-11,1465.41
1986-06-18,1486.98
1986-06-25,1509.4
1986-07-02,1534.78
1986-07-09,1475.56
1986-07-16,1434.01
1986-07-23,1455.69
1986-07-30,1438.98
1986-08-06,1440.04
1986-08-13,1494.39
1986-08-20,1518.81
1986-08-27,1537.53
1986-09-03,1519.87
1986-09-10,1497.45
1986-09-17,1411.06
1986-09-24,1438.66
1986-10-01,1424.18
1986-10-08,1441.09
1986-10-15,1452.41
1986-10-22,1439.93
1986-10-29,1467.63
1986-11-05,1500.52
1986-11-12,1500.31
1986-11-19,1444.58
1986-11-26,1504.96
1986-12-03,1533.72
1986-12-10,1516.91
1986-12-17,1496.82
1986-12-24,1490.9
1986-12-31,1465.31
1987-01-07,1548.31
1987-01-14,1592.19
1987-01-21,1616.72
1987-01-28,1657.12
1987-02-04,1684.5
1987-02-11,1675.62
1987-02-18,1718.87
1987-02-25,1712.63
1987-03-04,1738.43
1987-03-11,1748.79
1987-03-18,1762.01
1987-03-25,1802.82
1987-04-01,1755.66
1987-04-08,1781.78
1987-04-15,1702.69
1987-04-22,1718.76
1987-04-29,1701.74
1987-05-06,1760.21
1987-05-13,1752.07
1987-05-20,1660.29
1987-05-27,1719.71
1987-06-03,1747.52
1987-06-10,1771.42
1987-06-17,1812.76
1987-06-24,1822.91
1987-07-01,1803.03
1987-07-08,1833.7
1987-07-15,1845.96
1987-07-22,1834.01
1987-07-29,1871.55
1987-08-05,1887.83
1987-08-12,1963.54
1987-08-19,1949.37
1987-08-26,1976.65
1987-09-02,1904.54
1987-09-09,1858.76
1987-09-16,1866.37
1987-09-23,1902.53
1987-09-30,1905.81
1987-10-07,1887.94
1987-10-14,1810.86
1987-10-21,1533.4
1987-10-28,1377.86
1987-11-04,1470.91
1987-11-11,1432.32
1987-11-18,1454.73
1987-11-25,1447.54
1987-12-02,1387.38
1987-12-09,1412.23
1987-12-16,1462.77
1987-12-23,1494.7
1987-12-30,1464.67
1988-01-06,1531.29
1988-01-13,1458.65
1988-01-20,1445.64
1988-01-27,1482.75
1988-02-03,1501.15
1988-02-10,1525.15
1988-02-17,1540.8
1988-02-24,1570.62
1988-03-02,1593.25
1988-03-09,1601.71
1988-03-16,1599.59
1988-03-23,1605.3
1988-03-30,1546.09
1988-04-06,1583.52
1988-04-13,1619.9
1988-04-20,1534.57
1988-04-27,1574.85
1988-05-04,1557.51
1988-05-11,1517.12
1988-05-18,1506.86
1988-05-25,1520.19
1988-06-01,1589.65
1988-06-08,1616.41
1988-06-15,1635.44
1988-06-22,1642.63
1988-06-29,1619.16
1988-07-06,1625.82
1988-07-13,1610.06
1988-07-20,1613.13
1988-07-27,1572.74
1988-08-03,1628.67
1988-08-10,1567.34
1988-08-17,1561.11
1988-08-24,1564.17
1988-08-31,1567.98
1988-09-07,1590.08
1988-09-14,1608.58
1988-09-21,1613.97
1988-09-28,1607.52
1988-10-05,1624.34
1988-10-12,1636.5
1988-10-19,1651.41
1988-10-26,1674.56
1988-11-02,1660.08
1988-11-09,1627.51
1988-11-16,1575.06
1988-11-23,1600.97
1988-11-30,1627.3
1988-12-07,1650.98
1988-12-14,1635.97
1988-12-21,1646.65
1988-12-28,1647.49
1989-01-04,1660.71
1989-01-11,1677.52
1989-01-18,1702.48
1989-01-25,1716.43
1989-02-01,1760.21
1989-02-08,1773.11
1989-02-15,1746.89
1989-02-22,1729.33
1989-03-01,1710.2
1989-03-08,1749.42
1989-03-15,1762.32
1989-03-22,1727.85
1989-03-29,1736.74
1989-04-05,1760
1989-04-12,1771.52
1989-04-19,1815.51
1989-04-26,1816.04
1989-05-03,1822.38
1989-05-10,1809.48
1989-05-17,1871.34
1989-05-24,1881.81
1989-05-31,1891.11
1989-06-07,1928.01
1989-06-14,1912.05
1989-06-21,1894.6
1989-06-28,1923.04
1989-07-05,1895.34
1989-07-12,1947.15
1989-07-19,1978.34
1989-07-26,1989.34
1989-08-02,2027.83
1989-08-09,2042.84
1989-08-16,2036.92
1989-08-23,2028.46
1989-08-30,2060.93
1989-09-06,2053.21
1989-09-13,2033.22
1989-09-20,2034.91
1989-09-27,2028.25
1989-10-04,2093.39
1989-10-11,2091.59
1989-10-18,2001.82
1989-10-25,2003.93
1989-11-01,1996.74
1989-11-08,1982.36
1989-11-15,1995.9
